,Property Id,Property Name,Postal Code,Source EUI (kBtu/ftå_),Number of Buildings - Self-reported,Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (ftå_),Year Built,Metered Areas (Energy),ENERGY STAR Score,Median Income for Zip,building_type,gas_heat,gas_water,gas_equip,elec_heat,elec_lighting,elec_equipment,elec_fans,elec_ref,elec_cool,elec_percent_total,ENERGY STAR binned,binned source EUI
5473,"3,379,538",60 Seaman Ave,10034,107.1,1,Manhattan,Multifamily Housing,71892.0,1938,Whole Building,76.0,29479.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
5474,"3,526,793",128-132-136-140-144-148 Seaman Avenue,10034,125.9,1,Manhattan,Multifamily Housing,104250.0,1920,Whole Building,86.0,29479.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
5475,"2,665,128",Abro - 110 Seaman Avenue,10034,111.5,1,Manhattan,Multifamily Housing,95000.0,1937,Whole Building,72.0,29479.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
5476,"2,964,705",Sierra:  583 West 215th,10034,38.3,1,Manhattan,Multifamily Housing,80024.0,1930,Whole Building,100.0,29479.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
5477,"2,595,887",25 Indian Rd. Owners Corp.,10034,115.8,1,Manhattan,Multifamily Housing,62796.0,1953,Whole Building,54.0,29479.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5478,"2,656,275",Samson - 600 West 218th St,10034,130.7,1,Manhattan,Multifamily Housing,106674.0,1938,Whole Building,,29479.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Moderate
5479,"3,114,733",270 Seaman Avenue,10034,113.0,1,Manhattan,Multifamily Housing,55673.0,1926,Whole Building,64.0,29479.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5480,"3,529,570",(7579) - 579 West 215th Street,10034,100.1,1,Manhattan,Multifamily Housing,78100.0,1966,Whole Building,81.0,29479.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
5481,"5,991,312",500 EAST 132 STREET,10454,241.2,1,Bronx,Non-Refrigerated Warehouse,98000.0,1967,Whole Building,1.0,14271.0,warehouse,1.0,0.0,0.0,0.0,0.5743600542842435,0.12216294632411437,0.2640741260704759,0.0,0.039414572511582195,0.31808929096409977,Low,High
5486,"5,838,720",120 Bruckner Blvd,10454,16.7,1,Bronx,Non-Refrigerated Warehouse,104334.0,1913,Whole Building,100.0,14271.0,warehouse,1.0,0.0,0.0,0.0,0.5743600542842435,0.12216294632411437,0.2640741260704759,0.0,0.039414572511582195,0.31808929096409977,High,Low
5488,"3,529,363",Wavecrest - 428 East 137th St,10454,130.0,1,Bronx,Multifamily Housing,135435.0,1972,Whole Building,23.0,14271.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
5489,"3,122,828",138 SHARP REALTY LLC,10454,149.5,1,Bronx,Multifamily Housing,145936.0,1910,Whole Building,35.0,14271.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5490,"4,043,729",250 Wills Ave MEAT AND PRODUCE FOOD CORP.,10454,163.3,1,Bronx,Supermarket/Grocery Store,50710.0,1929,Whole Building,,14271.0,warehouse,0.932146228777673,0.007406755325123167,0.06044701589720395,0.0,0.2434664701061097,0.10804733955652858,0.14536313279389193,0.4785043978591035,0.024620034874830162,0.6882181637155369,Not Available,High
5491,"4,926,664",455 E 138th Street,10454,120.7,1,Bronx,Multifamily Housing,88323.0,1983,Whole Building,,14271.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Not Available,Moderate
5494,"2,784,189",420 East 146th Street - Brook Avenue Development,10455,157.8,1,Bronx,Multifamily Housing,69394.0,1905,Whole Building,17.0,19389.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
5495,"3,126,921",Lawrence 424 E 147th St.,10455,48.6,1,Bronx,Office,69000.0,1969,Whole Building,100.0,19389.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,High,Low
5496,"4,043,059",CC - 454-464 East 148th Street,10455,118.5,1,Bronx,Multifamily Housing,92998.0,1887,Whole Building,55.0,19389.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5497,"4,520,863",401-427 East 149th Street,10455,212.4,1,Bronx,Office,177094.0,1931,Whole Building,65.0,19389.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,Moderate,High
5499,"4,043,926",Wavecrest - 105 Willis Avenue,10454,67.6,1,Bronx,Multifamily Housing,490319.0,2009,Whole Building,99.0,14271.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
5500,"2,809,652",14 Bruckner LLC,10454,138.1,1,Bronx,Office,42500.0,1920,Whole Building,75.0,14271.0,small office building,0.9420490780535146,0.05795092194648551,0.0,0.0,0.3556009275918134,0.30799975741683583,0.20909513591876927,0.0,0.12722909380748715,0.8571601848620095,High,Moderate
5502,"2,809,651",26 Bruckner LLC,10454,121.3,1,Bronx,Office,80400.0,1931,Whole Building,89.0,14271.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,High,Moderate
5503,"4,402,905",Carnegie Management: 112 Lincoln Ave,10454,98.0,1,Bronx,Multifamily Housing,90000.0,1920,Whole Building,73.0,14271.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
5506,"3,506,790",Jem : 384 East 149th Street,10455,98.3,1,Bronx,Office,58150.0,1930,Whole Building,,19389.0,small office building,0.9420490780535146,0.05795092194648551,0.0,0.0,0.3556009275918134,0.30799975741683583,0.20909513591876927,0.0,0.12722909380748715,0.8571601848620095,Not Available,Low
5507,"3,127,704",MEATS000373 MEATS 373 E 148 ST.,10455,84.4,1,Bronx,Office,62125.0,1931,Whole Building,98.0,19389.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,High,Low
5508,"3,506,538",Melrose LLC,10455,257.0,1,Bronx,Office,75592.0,1908,Whole Building,9.0,19389.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,Low,High
5509,"2,652,011",349 East 149th Street LLC,10451,230.5,1,Bronx,Office,68886.0,1931,Whole Building,56.0,20307.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,Moderate,High
5510,"2,774,820",225 East 149th Street,10451,232.2,1,Bronx,Multifamily Housing,574751.0,1974,Whole Building,2.0,20307.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
5511,"2,792,984",Canal Rider Realty LLC,10451,451.2,1,Bronx,Distribution Center,104000.0,1926,Whole Building,1.0,20307.0,warehouse,1.0,0.0,0.0,0.0,0.5743600542842435,0.12216294632411437,0.2640741260704759,0.0,0.039414572511582195,0.31808929096409977,Low,Extremely High
5515,"2,972,860",151st and Walton LLC,10451,120.1,1,Bronx,Multifamily Housing,112400.0,1930,Whole Building,62.0,20307.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5517,"4,045,711",25775-Bronx / Gerard Ave,10451,22.2,1,Bronx,Non-Refrigerated Warehouse,410000.0,2000,Whole Building,99.0,20307.0,warehouse,1.0,0.0,0.0,0.0,0.5938407199535514,0.12630636733113992,0.24762918521385716,0.0,0.03222372750145152,0.33642745233686694,High,Low
5519,"3,126,761",Yankee 110 E 153 St.,10451,43.0,1,Bronx,Non-Refrigerated Warehouse,50000.0,1951,Whole Building,,20307.0,warehouse,1.0,0.0,0.0,0.0,0.5743600542842435,0.12216294632411437,0.2640741260704759,0.0,0.039414572511582195,0.31808929096409977,Not Available,Low
5520,"3,114,641",Bronx Terminal Market - 700 Exterior St - Retail A,10451,223.7,4,Bronx,Retail Store,387730.0,2006,Whole Building,,20307.0,retail,1.0,0.0,0.0,0.0023389013690731965,0.6135971759125795,0.10813883283382378,0.1879932770183903,0.0,0.08792637356062379,0.6223620693157121,Not Available,High
5521,"3,536,731",Via Verde,10455,69.3,1,Bronx,Multifamily Housing,285833.0,2012,Whole Building,99.0,19389.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
5522,"3,529,360",Wavecrest - 789 St. Anns Ave,10456,143.4,1,Bronx,Multifamily Housing,264971.0,1993,Whole Building,13.0,16664.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,Moderate
5523,"4,414,307",2948 3 Ave,10455,14.6,1,Bronx,Retail Store,177000.0,1937,Whole Building,100.0,19389.0,retail,0.9179441605569133,0.0,0.0,0.0031234051240175563,0.5757272634479942,0.1014647341022762,0.21517301214657547,0.0,0.10451668878228028,0.617198007981932,High,Low
5526,"4,043,062",CC - 3100 3rd Avenue,10451,161.8,1,Bronx,Multifamily Housing,110651.0,2009,Whole Building,25.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,High
5527,"3,529,383",Wavecrest - 3044 3rd Ave,10451,128.8,1,Bronx,Multifamily Housing,84301.0,2006,Whole Building,31.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,Moderate
5528,"5,845,999",Boricua College: 890 Washington,10451,125.4,1,Bronx,College/University,128000.0,2009,Whole Building,,20307.0,secondary education,0.8973390502176314,0.05674527382576496,0.04591567595660365,0.0,0.33451895092055506,0.1736047018866162,0.08163131537252025,0.010491246495697647,0.39975378532461087,0.6329664030612122,Not Available,Moderate
5529,"4,043,929",Wavecrest - 505 East 161st Street,10451,93.0,1,Bronx,Multifamily Housing,109032.0,2009,Whole Building,79.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
5530,"4,043,931",Wavecrest - 514 East 163rd Street,10451,100.7,1,Bronx,Multifamily Housing,133038.0,2008,Whole Building,69.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Moderate
5531,"4,043,932",Wavecrest - 508 East 163rd Street,10451,112.2,1,Bronx,Multifamily Housing,114508.0,2008,Whole Building,54.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5532,"4,043,933",Wavecrest - 3213 3rd Avenue,10451,109.3,1,Bronx,Multifamily Housing,154153.0,2008,Whole Building,64.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5533,"4,043,065",CC - 488 East 164th Street,10456,112.6,1,Bronx,Multifamily Housing,120000.0,2003,Whole Building,67.0,16664.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Moderate
5534,"5,870,889",Wavecrest - 1016 Washington Avenue,10456,78.3,1,Bronx,Multifamily Housing,107735.0,2014,Whole Building,93.0,16664.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
5535,"3,858,106",Heritage: 3305 3rd Avenue,10456,136.3,1,Bronx,Multifamily Housing,66117.0,2007,Whole Building,28.0,16664.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,Moderate
5536,"4,043,066",CC - 500 East 165th Street,10456,118.8,1,Bronx,Multifamily Housing,158773.0,2007,Whole Building,62.0,16664.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5537,"5,734,160",Washington Avenue Apts: 1138 Washington Avenue,10456,83.0,1,Bronx,Multifamily Housing,50411.0,2008,Whole Building,97.0,16664.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
5538,"2,561,008",3463 3RD ave LLC,10456,117.8,1,Bronx,Multifamily Housing,144730.0,2000,Whole Building,59.0,16664.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5539,"4,520,814",2881-2887 Third Avenue,10455,144.8,1,Bronx,Office,52971.0,1991,Whole Building,81.0,19389.0,small office building,0.7801295619267526,0.2198704380732474,0.0,0.16580156456101108,0.3633576388171659,0.31471814589782254,0.022013627202469303,0.0,0.13402934953567772,0.9560162720891918,High,Moderate
5540,"4,043,067",CC - 760 Melrose Avenue,10451,161.8,1,Bronx,Multifamily Housing,160652.0,2004,Whole Building,19.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,High
5541,"2,780,891","Dalton, 156th St. Associates",10455,93.6,1,Bronx,Multifamily Housing,84552.0,2008,Whole Building,77.0,19389.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
5542,"4,043,069",CC - 3055 3rd Avenue,10451,130.5,1,Bronx,Multifamily Housing,71000.0,2007,Whole Building,60.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5543,"4,043,935",Wavecrest - 404 East 158th Street,10451,128.0,1,Bronx,Multifamily Housing,199370.0,2004,Whole Building,38.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5544,"2,810,866",La Casa de Felicidad,10457,113.7,1,Bronx,Multifamily Housing,86857.0,2005,Whole Building,61.0,19233.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5545,"2,810,867",La Puerta de Vitalidad,10457,158.5,1,Bronx,Multifamily Housing,82712.0,2000,Whole Building,,19233.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Not Available,Moderate
5546,"2,692,228",The Aurora,10451,116.6,1,Bronx,Multifamily Housing,149172.0,2002,Whole Building,46.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5547,"4,043,072",CC - 871 Elton Avenue,10451,141.3,1,Bronx,Multifamily Housing,107601.0,2005,Whole Building,58.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5548,"4,044,925",CC - 406 East 161st Street,10451,149.7,1,Bronx,Multifamily Housing,84351.0,2006,Whole Building,51.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5549,"4,043,074",CC - 1011 Washington Avenue,10456,143.7,1,Bronx,Multifamily Housing,127284.0,2004,Whole Building,46.0,16664.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5550,"4,477,234",3340 Park Avenue Bronx,10456,48.1,1,Bronx,Non-Refrigerated Warehouse,69672.0,1931,Whole Building,76.0,16664.0,warehouse,1.0,0.0,0.0,0.0,0.5743600542842435,0.12216294632411437,0.2640741260704759,0.0,0.039414572511582195,0.31808929096409977,High,Low
5551,"2,664,152",3362 Park Ave,10456,15.8,1,Bronx,Non-Refrigerated Warehouse,62500.0,1931,Whole Building,87.0,16664.0,warehouse,1.0,0.0,0.0,0.0,0.5743600542842435,0.12216294632411437,0.2640741260704759,0.0,0.039414572511582195,0.31808929096409977,High,Low
5552,"4,943,946",1085 Washington Ave,10453,107.3,1,Bronx,Multifamily Housing,110544.0,2007,Whole Building,77.0,21109.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Moderate
5554,"4,390,522",398 East 152nd Street,10455,144.9,2,Bronx,Multifamily Housing,70324.0,1920,Whole Building,52.0,19389.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5555,"3,630,906",Wavecrest - 384 East 158th St,10451,100.0,1,Bronx,Multifamily Housing,99362.0,2008,Whole Building,83.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
5556,"2,716,923",825-827 Melrose Ave (Melrose Villa Hermosa),10451,131.2,1,Bronx,Multifamily Housing,66001.0,2003,Whole Building,90.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Moderate
5557,"3,539,025",Jasper Hall,10451,136.0,1,Bronx,Multifamily Housing,55039.0,2006,Whole Building,33.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Low,Moderate
5558,"3,119,202",Courtlandt Corners I,10451,126.5,1,Bronx,Multifamily Housing,88554.0,2010,Whole Building,52.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5559,"4,407,387",Courtlandt Crescent,10451,106.3,1,Bronx,Multifamily Housing,240000.0,2012,Whole Building,82.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Moderate
5560,"4,043,936",Wavecrest - 320 East 159th Street,10451,133.3,1,Bronx,Multifamily Housing,196653.0,2005,Whole Building,34.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5561,"5,870,890",Wavecrest - 3160 Park Avenue,10451,20.5,1,Bronx,Multifamily Housing,174657.0,2015,Whole Building,100.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
5562,"3,136,193",290 E. 161st Street,10451,118.4,1,Bronx,Multifamily Housing,239702.0,1980,Whole Building,57.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,Moderate,Moderate
5563,"4,406,598",MID00964M 964 Morris Avenue,10456,97.3,1,Bronx,Multifamily Housing,72000.0,1920,Not Available,78.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
5564,"2,954,490",3339 Park LLC,10456,241.2,1,Bronx,Residence Hall/Dormitory,65700.0,1920,Whole Building,16.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
5565,"3,108,799",East 163 LLC,10451,154.7,1,Bronx,Multifamily Housing,60840.0,1911,Whole Building,27.0,20307.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
5566,"2,653,771",1230 Teller Avenue,10456,123.6,1,Bronx,Multifamily Housing,73724.0,1948,Whole Building,73.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
5567,"3,109,601",1229-1273 REALTY LLC,10456,135.2,1,Bronx,Multifamily Housing,136465.0,1929,Whole Building,59.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5568,"3,512,655",Leeds: 309 E 164 St,10456,132.2,1,Bronx,Multifamily Housing,76992.0,1928,Whole Building,63.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5569,"3,230,437","1066_1284_1041 Findlay Avenue, Bronx",10456,65.2,1,Bronx,Multifamily Housing,118041.0,1928,Whole Building,100.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
5570,"2,650,136",Chestnut - 1200 College Ave,10456,105.2,1,Bronx,Multifamily Housing,85904.0,1941,Whole Building,71.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
5571,"4,631,626",Findlay House Inc.,10456,111.6,1,Bronx,Multifamily Housing,235000.0,1971,Whole Building,57.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5572,"4,028,635",315 East 167th Street - 42060,10456,100.0,1,Bronx,Multifamily Housing,73000.0,1947,Whole Building,83.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
5573,"4,835,756",1201 Findlay Avenue - 42167,10456,146.1,1,Bronx,Multifamily Housing,148000.0,1921,Whole Building,44.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5574,"2,815,960",1220 Morris Ave,10456,171.7,1,Bronx,Multifamily Housing,54646.0,1930,Whole Building,6.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
5575,"2,815,957",1221 College Ave,10456,124.6,1,Bronx,Multifamily Housing,61967.0,1931,Whole Building,43.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
5576,"2,815,953",1205 College Ave,10456,173.0,1,Bronx,Multifamily Housing,58153.0,1929,Whole Building,6.0,16664.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
5577,"3,529,385",Wavecrest - 599 Morris Ave,10451,69.2,1,Bronx,Multifamily Housing,159634.0,1982,Whole Building,99.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
5578,"2,791,496",Maria Lopez Plaza,10451,119.0,1,Bronx,Multifamily Housing,257718.0,1983,Whole Building,72.0,20307.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Moderate
